AU01_r_max,AU02_r_max,AU04_r_max,AU05_r_max,AU06_r_max,AU07_r_max,AU09_r_max,AU10_r_max,AU12_r_max,AU14_r_max,AU15_r_max,AU17_r_max,AU20_r_max,AU23_r_max,AU25_r_max,AU26_r_max,AU45_r_max,AU01_r_min,AU02_r_min,AU04_r_min,AU05_r_min,AU06_r_min,AU07_r_min,AU09_r_min,AU10_r_min,AU12_r_min,AU14_r_min,AU15_r_min,AU17_r_min,AU20_r_min,AU23_r_min,AU25_r_min,AU26_r_min,AU45_r_min,AU01_r_mean,AU02_r_mean,AU04_r_mean,AU05_r_mean,AU06_r_mean,AU07_r_mean,AU09_r_mean,AU10_r_mean,AU12_r_mean,AU14_r_mean,AU15_r_mean,AU17_r_mean,AU20_r_mean,AU23_r_mean,AU25_r_mean,AU26_r_mean,AU45_r_mean,AU01_r_sd,AU02_r_sd,AU04_r_sd,AU05_r_sd,AU06_r_sd,AU07_r_sd,AU09_r_sd,AU10_r_sd,AU12_r_sd,AU14_r_sd,AU15_r_sd,AU17_r_sd,AU20_r_sd,AU23_r_sd,AU25_r_sd,AU26_r_sd,AU45_r_sd,type
1.96,1.28,0.7,0.74,0.84,0.96,2.66,0.82,0.27,0.73,0.0,0.94,0.28,1.62,1.69,0.54,0.0,0.8,0.18,0.07,0.13,0.31,0.0,1.31,0.0,0.0,0.0,0.0,0.26,0.0,0.23,0.0,0.0,0.0,1.490666666666667,1.0306666666666668,0.44955555555555565,0.44177777777777766,0.5737777777777778,0.3464444444444444,1.7279999999999998,0.23066666666666663,0.05355555555555557,0.36977777777777787,0.0,0.6391111111111111,0.006222222222222223,1.3264444444444443,0.038,0.1917777777777778,0.0,0.24200300524054355,0.2008323588559283,0.14999932659781504,0.16461095855612917,0.09468341721204138,0.31526435916801027,0.2629863459988335,0.16350423958918117,0.0703612611506294,0.18034674794669708,0.0,0.11791411015538968,0.04173993557999607,0.20894927130717153,0.2518802024051043,0.16157307506468577,0.0,signal
1.75,1.53,0.81,1.44,1.03,1.51,2.36,0.61,0.47,0.87,0.0,1.09,0.0,1.66,0.6,0.49,0.0,0.21,0.0,0.18,0.18,0.22,0.0,1.08,0.0,0.0,0.0,0.0,0.43,0.0,0.89,0.0,0.0,0.0,1.1386666666666665,1.0553333333333335,0.47777777777777786,0.6993333333333334,0.6386666666666667,0.3915555555555556,1.826888888888889,0.23399999999999999,0.19044444444444444,0.21022222222222225,0.0,0.7317777777777777,0.0,1.2922222222222222,0.017777777777777778,0.01977777777777778,0.0,0.34655184578671894,0.3245318306282283,0.1354099648691284,0.2808380316125293,0.15245863820602742,0.34778490972775605,0.2892295582642572,0.17560803460599922,0.14977188041022976,0.24348314192986836,0.0,0.16408546676668354,0.0,0.1692347601422475,0.09014858665984553,0.07849403245669781,0.0,signal
1.25,1.6,0.87,1.51,1.68,1.49,2.52,0.62,0.33,1.27,0.0,1.72,1.27,1.56,0.0,0.03,0.88,0.0,0.0,0.05,0.0,0.26,0.0,1.41,0.0,0.0,0.0,0.0,0.09,0.0,0.03,0.0,0.0,0.0,0.7884444444444445,0.9217777777777777,0.44422222222222213,0.7348888888888887,0.5266666666666667,0.6793333333333333,1.9535555555555557,0.19066666666666668,0.08244444444444445,0.13555555555555557,0.0,0.7368888888888888,0.02822222222222222,1.304,0.0,0.0006666666666666666,0.019555555555555555,0.29367542036277483,0.2637947625857586,0.2005389203767154,0.3336684678908789,0.20632058020997768,0.327020989040042,0.3456821684960935,0.16550748403841828,0.11217185588428699,0.2575986620832312,0.0,0.21477072576695513,0.1893204220949822,0.23625294610957664,0.0,0.004472135954999579,0.13118265467998766,signal
1.2,1.75,0.65,1.19,0.78,0.86,2.76,0.52,0.29,0.54,0.0,0.99,0.67,1.64,1.05,0.0,0.0,0.0,0.01,0.0,0.08,0.31,0.0,1.69,0.0,0.0,0.0,0.0,0.4,0.0,0.15,0.0,0.0,0.0,0.528,0.8317777777777776,0.26999999999999996,0.6362222222222222,0.5195555555555555,0.3324444444444445,2.2415555555555553,0.08755555555555555,0.04177777777777778,0.03066666666666667,0.0,0.6531111111111112,0.023333333333333334,1.155111111111111,0.07266666666666667,0.0,0.0,0.36805137981240904,0.3442600027522069,0.15840110192454185,0.2369435000632476,0.1111091919026168,0.2361832450715445,0.2445492658634317,0.12323583369730863,0.08829930734024859,0.09606815762306943,0.0,0.1389051707628138,0.11369816501277728,0.25031454959185606,0.22022096341464115,0.0,0.0,signal
1.42,1.57,0.74,1.17,0.7,1.18,2.24,0.82,0.38,0.87,0.0,1.05,0.0,1.58,1.2,0.31,0.0,0.1,0.05,0.0,0.0,0.05,0.0,1.34,0.0,0.0,0.0,0.0,0.53,0.0,0.67,0.0,0.0,0.0,0.7835555555555553,0.9113333333333331,0.32866666666666666,0.6335555555555556,0.37599999999999995,0.49155555555555563,1.719777777777778,0.19244444444444442,0.03977777777777778,0.21688888888888888,0.0,0.7819999999999999,0.0,1.3199999999999998,0.08577777777777777,0.009111111111111111,0.0,0.30864922393283845,0.3011312006418465,0.16721787638233593,0.30186658368132496,0.17518042646991647,0.3674479280088266,0.22824915502072898,0.21415962139101627,0.09106663117262719,0.21228007038539506,0.0,0.15551381113761392,0.0,0.22383029285599393,0.26874699904361626,0.04747354393488412,0.0,signal
1.69,1.2,1.27,0.76,0.0,0.0,0.9,0.15,0.0,1.37,0.0,1.16,0.0,1.4,0.48,0.79,0.0,0.93,0.43,0.59,0.0,0.0,0.0,0.28,0.0,0.0,0.61,0.0,0.42,0.0,0.0,0.0,0.0,0.0,1.3571111111111112,0.8455555555555558,0.8562222222222224,0.2502222222222222,0.0,0.0,0.5826666666666667,0.003333333333333333,0.0,0.8997777777777777,0.0,0.7937777777777779,0.0,0.7004444444444444,0.02711111111111111,0.26022222222222224,0.0,0.20578698410804028,0.17966579524160406,0.1368358155017918,0.23393364335843078,0.0,0.0,0.1412830814036454,0.022360679774997897,0.0,0.15827893802468546,0.0,0.15564074146585272,0.0,0.36100840808362167,0.08917863131282228,0.2380841036357539,0.0,signal
1.57,1.02,1.25,1.39,0.43,0.09,1.36,1.5,0.46,1.39,0.17,1.28,0.09,1.21,0.51,1.13,0.0,0.66,0.11,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.36,0.0,0.0,0.0,0.0,0.0,1.1542222222222223,0.5633333333333334,0.9195555555555558,0.2606666666666667,0.037333333333333336,0.002,0.6995555555555556,0.15999999999999998,0.017555555555555557,0.8448888888888888,0.003777777777777778,0.7393333333333334,0.002,0.5182222222222223,0.058222222222222224,0.3828888888888889,0.0,0.1981102641653803,0.18863143476583694,0.20941428660514882,0.35416611408156534,0.09777990126252477,0.01341640786499874,0.38402743483645896,0.30337495551934346,0.07358222227103116,0.22283934512866832,0.025342103744997624,0.17453053913544497,0.01341640786499874,0.37921742916941276,0.1330633630488069,0.37873366884816556,0.0,signal
2.03,1.1,0.72,0.24,0.08,0.02,1.27,0.23,0.0,1.58,0.0,1.42,0.0,1.13,0.74,0.46,0.0,1.18,0.16,0.02,0.0,0.0,0.0,0.49,0.0,0.0,0.89,0.0,0.51,0.0,0.0,0.0,0.0,0.0,1.6391999999999998,0.8808,0.39759999999999995,0.0548,0.0032,0.0008,0.8540000000000001,0.044000000000000004,0.0,1.2708,0.0,0.9676,0.0,0.7232,0.055999999999999994,0.138,0.0,0.25480253792561275,0.19401288616996554,0.18713364208500832,0.07826876771739798,0.016,0.004,0.20295730257043396,0.06487166818676188,0.0,0.18268643445350105,0.0,0.22143998434489343,0.0,0.27393308185272797,0.19416487838947596,0.15261607604268518,0.0,signal
2.31,2.34,1.33,0.96,1.39,1.61,2.58,1.14,0.82,1.88,0.0,1.82,1.23,1.55,0.51,0.76,0.38,0.0,0.0,0.0,0.0,0.04,0.0,1.26,0.0,0.0,0.0,0.0,0.74,0.0,0.16,0.0,0.0,0.0,1.4513333333333334,1.305111111111111,1.0002222222222223,0.19577777777777775,0.526,0.5442222222222223,1.741111111111111,0.4171111111111111,0.24822222222222223,0.6433333333333332,0.0,1.2115555555555557,0.027333333333333334,1.0795555555555556,0.012,0.22244444444444447,0.008444444444444445,0.5072143172627953,0.40704378936994784,0.2217235060414505,0.23629227749556353,0.2426969678051586,0.4590775775642089,0.2552647664878586,0.28069412519536624,0.23236226505657542,0.39110565882333687,0.0,0.2763557946787533,0.18335757415498272,0.3593552025728327,0.0760561993169883,0.22427819125074797,0.05664705542999467,signal
2.1,1.51,1.06,0.86,1.19,1.19,2.26,1.38,0.09,2.13,0.0,1.14,0.77,1.38,1.55,0.55,0.0,0.0,0.0,0.34,0.0,0.0,0.05,1.45,0.0,0.0,0.58,0.0,0.34,0.0,0.08,0.0,0.0,0.0,1.429555555555556,0.8755555555555554,0.6726666666666665,0.22533333333333336,0.4064444444444445,0.6342222222222224,1.8675555555555556,0.152,0.0044444444444444444,1.046,0.0,0.6891111111111111,0.01711111111111111,0.9355555555555556,0.10844444444444444,0.11888888888888888,0.0,0.40255973896347785,0.3486177612146912,0.16446055067180315,0.2415442741272009,0.19002578240806686,0.30512656754570266,0.18206087338075033,0.2648121117801347,0.016174552903130322,0.2387410160137397,0.0,0.19482885522499696,0.11478482284498923,0.33664491378869515,0.33925691227335747,0.14094199680949063,0.0,signal
